Orthogroup	Amanita_muscaria	Arabidopsis_thaliana	Canis_lupus	Dyctiostelium_discoideum	Paramecium_tetraurelia	Phytophthora_infestans	Total
OG0000460	0	0	0	0	0	33	33
OG0000461	13	5	6	1	2	5	32
OG0000462	2	5	12	1	9	3	32
OG0000463	1	24	0	2	4	1	32
OG0000464	2	8	0	3	17	2	32
OG0000465	1	4	22	1	1	3	32
OG0000466	1	7	19	1	3	1	32
OG0000467	1	11	11	2	2	5	32
OG0000468	0	32	0	0	0	0	32
OG0000469	0	32	0	0	0	0	32
OG0000470	0	17	5	1	8	1	32
OG0000471	0	32	0	0	0	0	32
OG0000472	0	32	0	0	0	0	32
OG0000473	0	32	0	0	0	0	32
OG0000474	0	32	0	0	0	0	32
OG0000475	0	29	0	0	1	2	32
OG0000476	0	32	0	0	0	0	32
OG0000477	0	32	0	0	0	0	32
OG0000478	0	32	0	0	0	0	32
OG0000479	0	31	0	0	0	1	32
OG0000480	0	0	17	14	0	1	32
OG0000481	0	0	32	0	0	0	32
OG0000482	0	0	32	0	0	0	32
OG0000483	0	0	32	0	0	0	32
OG0000484	0	0	32	0	0	0	32
OG0000485	0	0	32	0	0	0	32
OG0000486	0	0	31	1	0	0	32
OG0000487	0	0	32	0	0	0	32
OG0000488	0	0	32	0	0	0	32
OG0000489	0	0	0	32	0	0	32
OG0000490	0	0	0	0	32	0	32
OG0000491	0	0	0	0	32	0	32
OG0000492	0	0	0	0	32	0	32
OG0000493	0	0	0	0	32	0	32
OG0000494	0	0	0	0	0	32	32
OG0000495	0	0	0	0	0	32	32
OG0000496	0	0	0	0	0	32	32
OG0000497	6	14	0	1	3	7	31
OG0000498	31	0	0	0	0	0	31
OG0000499	31	0	0	0	0	0	31
OG0000500	3	17	4	3	2	2	31
OG0000501	3	23	1	1	1	2	31
OG0000502	1	3	13	2	8	4	31
OG0000503	2	23	0	0	0	6	31
OG0000504	6	25	0	0	0	0	31
OG0000505	2	3	19	3	2	2	31
OG0000506	1	0	30	0	0	0	31
OG0000507	5	1	16	4	3	2	31
OG0000508	2	7	16	3	1	2	31
OG0000509	1	5	14	1	4	6	31
OG0000510	4	27	0	0	0	0	31
OG0000511	2	0	22	2	4	1	31
OG0000512	1	11	10	2	4	3	31
OG0000513	1	3	5	2	13	7	31
OG0000514	1	0	30	0	0	0	31
OG0000515	0	28	3	0	0	0	31
OG0000516	0	30	1	0	0	0	31
OG0000517	0	31	0	0	0	0	31
OG0000518	0	28	0	1	0	2	31
OG0000519	0	31	0	0	0	0	31
OG0000520	0	31	0	0	0	0	31
OG0000521	0	31	0	0	0	0	31
OG0000522	0	1	29	0	0	1	31
OG0000523	0	0	31	0	0	0	31
OG0000524	0	0	31	0	0	0	31
OG0000525	0	0	31	0	0	0	31
OG0000526	0	0	31	0	0	0	31
OG0000527	0	0	31	0	0	0	31
OG0000528	0	0	31	0	0	0	31
OG0000529	0	0	31	0	0	0	31
OG0000530	0	0	31	0	0	0	31
OG0000531	0	0	31	0	0	0	31
OG0000532	0	0	30	0	0	1	31
OG0000533	0	0	31	0	0	0	31
OG0000534	0	0	31	0	0	0	31
OG0000535	0	0	31	0	0	0	31
OG0000536	0	0	31	0	0	0	31
OG0000537	0	0	31	0	0	0	31
OG0000538	0	0	31	0	0	0	31
OG0000539	0	0	0	31	0	0	31
OG0000540	0	0	0	0	31	0	31
OG0000541	0	0	0	0	31	0	31
OG0000542	30	0	0	0	0	0	30
OG0000543	30	0	0	0	0	0	30
OG0000544	11	8	5	0	3	3	30
OG0000545	2	16	8	3	0	1	30
OG0000546	1	14	10	1	3	1	30
OG0000547	2	3	19	2	3	1	30
OG0000548	2	0	26	2	0	0	30
OG0000549	2	26	0	0	0	2	30
